Image Tag,Analysis Region,Phenotypes,# Cells / mm²
169527_APPENDIX_ILC3,Extra-follicular zone,ILC3,8.670914884
169528_APPENDIX_ILC3,Extra-follicular zone,ILC3,18.53785901
169529_APPENDIX_ILC3,Extra-follicular zone,ILC3,6.817134961
169530_APPENDIX_ILC3,Extra-follicular zone,ILC3,13.99555697
169531_APPENDIX_ILC3,Extra-follicular zone,ILC3,16.43911185
169898_ILEUM_ILC1,Germinal center,ILC1,0.465116279
169899_ILEUM_ILC1,Germinal center,ILC1,15.42553191
169900_ILEUM_ILC1,Germinal center,ILC1,0.925925926
169901_ILEUM_ILC1,Germinal center,ILC1,10.68965517
169902_ILEUM_ILC1,Germinal center,ILC1,4.566378199
169903_ILEUM_ILC1,Germinal center,ILC1,5.89569161
169904_ILEUM_ILC1,Germinal center,ILC1,0.546448087
169905_ILEUM_ILC1,Germinal center,ILC1,6.949352179
169906_ILEUM_ILC2,Germinal center,ILC2,0.0
169907_ILEUM_ILC2,Germinal center,ILC2,1.369863014
169908_ILEUM_ILC2,Germinal center,ILC2,2.962962963
169909_ILEUM_ILC2,Germinal center,ILC2,6.870229008
169910_ILEUM_ILC2,Germinal center,ILC2,31.37485311
169911_ILEUM_ILC2,Germinal center,ILC2,11.68831169
169912_ILEUM_ILC2,Germinal center,ILC2,22.22222222
169913_ILEUM_ILC2,Germinal center,ILC2,2.164502165
169914_ILEUM_ILC3,Germinal center,ILC3,5.5
169915_ILEUM_ILC3,Germinal center,ILC3,17.6
169916_ILEUM_ILC3,Germinal center,ILC3,21.42857143
169917_ILEUM_ILC3,Germinal center,ILC3,21.21212121
169918_ILEUM_ILC3,Germinal center,ILC3,27.77777778
169919_ILEUM_ILC3,Germinal center,ILC3,14.87068966
169920_ILEUM_ILC3,Germinal center,ILC3,0.0
169921_ILEUM_ILC3,Germinal center,ILC3,10.48689139
169898_ILEUM_ILC1,Extra-follicular zone,ILC1,2.784401482
169899_ILEUM_ILC1,Extra-follicular zone,ILC1,10.11485478
169900_ILEUM_ILC1,Extra-follicular zone,ILC1,8.132486016
169901_ILEUM_ILC1,Extra-follicular zone,ILC1,21.45285157
169902_ILEUM_ILC1,Extra-follicular zone,ILC1,13.88926025
169903_ILEUM_ILC1,Extra-follicular zone,ILC1,12.30167699
169904_ILEUM_ILC1,Extra-follicular zone,ILC1,2.883713954
169905_ILEUM_ILC1,Extra-follicular zone,ILC1,4.478549929
169906_ILEUM_ILC2,Extra-follicular zone,ILC2,0.085115438
169907_ILEUM_ILC2,Extra-follicular zone,ILC2,0.473324768
169908_ILEUM_ILC2,Extra-follicular zone,ILC2,0.617969391
169909_ILEUM_ILC2,Extra-follicular zone,ILC2,1.535637536
169910_ILEUM_ILC2,Extra-follicular zone,ILC2,4.023337088
169911_ILEUM_ILC2,Extra-follicular zone,ILC2,6.529480444
169912_ILEUM_ILC2,Extra-follicular zone,ILC2,1.112420804
169913_ILEUM_ILC2,Extra-follicular zone,ILC2,0.41590148
169914_ILEUM_ILC3,Extra-follicular zone,ILC3,6.317053975
169915_ILEUM_ILC3,Extra-follicular zone,ILC3,19.82702502
169916_ILEUM_ILC3,Extra-follicular zone,ILC3,14.2988242
169917_ILEUM_ILC3,Extra-follicular zone,ILC3,27.07119331
169918_ILEUM_ILC3,Extra-follicular zone,ILC3,18.92802611
169919_ILEUM_ILC3,Extra-follicular zone,ILC3,16.49535158
169920_ILEUM_ILC3,Extra-follicular zone,ILC3,7.92865603
169921_ILEUM_ILC3,Extra-follicular zone,ILC3,7.223260047
168971_LYMPH-NODE_ILC1,Germinal center,ILC1,1.369863014
168972_LYMPH-NODE_ILC1,Germinal center,ILC1,0.653594771
168973_LYMPH-NODE_ILC1,Germinal center,ILC1,2.298850575
168974_LYMPH-NODE_ILC1,Germinal center,ILC1,1.506456241
168975_LYMPH-NODE_ILC1,Germinal center,ILC1,0.0
168976_LYMPH-NODE_ILC1,Germinal center,ILC1,3.558052434
168977_LYMPH-NODE_ILC1,Germinal center,ILC1,2.977667494
168978_LYMPH-NODE_ILC1,Germinal center,ILC1,1.418439716
168979_LYMPH-NODE_ILC2,Germinal center,ILC2,54.11764706
168980_LYMPH-NODE_ILC2,Germinal center,ILC2,1.754385965
168981_LYMPH-NODE_ILC2,Germinal center,ILC2,32.35294118
168982_LYMPH-NODE_ILC2,Germinal center,ILC2,19.35483871
168983_LYMPH-NODE_ILC2,Germinal center,ILC2,11.11111111
168984_LYMPH-NODE_ILC2,Germinal center,ILC2,11.2
168985_LYMPH-NODE_ILC2,Germinal center,ILC2,34.79318735
168986_LYMPH-NODE_ILC2,Germinal center,ILC2,39.79591837
168987_LYMPH-NODE_ILC3,Germinal center,ILC3,0.0
168988_LYMPH-NODE_ILC3,Germinal center,ILC3,7.142857143
168989_LYMPH-NODE_ILC3,Germinal center,ILC3,2.380952381
168990_LYMPH-NODE_ILC3,Germinal center,ILC3,2.158273381
168991_LYMPH-NODE_ILC3,Germinal center,ILC3,0.0
168992_LYMPH-NODE_ILC3,Germinal center,ILC3,0.193423598
168993_LYMPH-NODE_ILC3,Germinal center,ILC3,0.400801603
168994_LYMPH-NODE_ILC3,Germinal center,ILC3,8.496732026
168971_LYMPH-NODE_ILC1,Extra-follicular zone,ILC1,4.326538574
168972_LYMPH-NODE_ILC1,Extra-follicular zone,ILC1,1.083993661
168973_LYMPH-NODE_ILC1,Extra-follicular zone,ILC1,0.827523294
168974_LYMPH-NODE_ILC1,Extra-follicular zone,ILC1,3.637307354
168975_LYMPH-NODE_ILC1,Extra-follicular zone,ILC1,8.121316659
