Image Tag,Analysis Region,Phenotypes,# Cells / mm²
169903_ILEUM_ILC1,Extra-follicular zone,ILC1,316.7722497
169904_ILEUM_ILC1,Extra-follicular zone,ILC1,27.13045324
169905_ILEUM_ILC1,Extra-follicular zone,ILC1,40.07628346
169906_ILEUM_ILC2,Extra-follicular zone,ILC2,0.395366072
169907_ILEUM_ILC2,Extra-follicular zone,ILC2,0.945806887
169908_ILEUM_ILC2,Extra-follicular zone,ILC2,4.168647588
169909_ILEUM_ILC2,Extra-follicular zone,ILC2,5.069932551
169910_ILEUM_ILC2,Extra-follicular zone,ILC2,24.86538598
169911_ILEUM_ILC2,Extra-follicular zone,ILC2,130.0946417
169912_ILEUM_ILC2,Extra-follicular zone,ILC2,5.288562164
169913_ILEUM_ILC2,Extra-follicular zone,ILC2,2.265380166
169914_ILEUM_ILC3,Extra-follicular zone,ILC3,35.5261949
169915_ILEUM_ILC3,Extra-follicular zone,ILC3,42.52294058
169916_ILEUM_ILC3,Extra-follicular zone,ILC3,79.69150915
169917_ILEUM_ILC3,Extra-follicular zone,ILC3,64.02301065
169918_ILEUM_ILC3,Extra-follicular zone,ILC3,64.03342235
169919_ILEUM_ILC3,Extra-follicular zone,ILC3,293.0962257
169920_ILEUM_ILC3,Extra-follicular zone,ILC3,40.64084542
169921_ILEUM_ILC3,Extra-follicular zone,ILC3,44.0790856
169898_ILEUM_ILC1,Extra-follicular zone,TH1,0.25165935
169899_ILEUM_ILC1,Extra-follicular zone,TH1,0.548363112
169900_ILEUM_ILC1,Extra-follicular zone,TH1,0.327324314
169901_ILEUM_ILC1,Extra-follicular zone,TH1,2.939333681
169902_ILEUM_ILC1,Extra-follicular zone,TH1,28.16573817
169903_ILEUM_ILC1,Extra-follicular zone,TH1,5.994404136
169904_ILEUM_ILC1,Extra-follicular zone,TH1,0.0
169905_ILEUM_ILC1,Extra-follicular zone,TH1,0.769559357
169906_ILEUM_ILC2,Extra-follicular zone,TH2,4.225474899
169907_ILEUM_ILC2,Extra-follicular zone,TH2,10.34982965
169908_ILEUM_ILC2,Extra-follicular zone,TH2,3.940674673
169909_ILEUM_ILC2,Extra-follicular zone,TH2,42.93922466
169910_ILEUM_ILC2,Extra-follicular zone,TH2,854.7409491
169911_ILEUM_ILC2,Extra-follicular zone,TH2,223.0858496
169912_ILEUM_ILC2,Extra-follicular zone,TH2,9.28125148
169913_ILEUM_ILC2,Extra-follicular zone,TH2,44.80745445
169914_ILEUM_ILC3,Extra-follicular zone,TH17,7.268310038
169915_ILEUM_ILC3,Extra-follicular zone,TH17,30.40962011
169916_ILEUM_ILC3,Extra-follicular zone,TH17,16.07895271
169917_ILEUM_ILC3,Extra-follicular zone,TH17,98.76081171
169918_ILEUM_ILC3,Extra-follicular zone,TH17,89.48648508
169919_ILEUM_ILC3,Extra-follicular zone,TH17,62.17897704
169920_ILEUM_ILC3,Extra-follicular zone,TH17,14.39214473
169921_ILEUM_ILC3,Extra-follicular zone,TH17,29.02555172
