Image Tag,Analysis Region,Phenotypes,# Cells / mm²
173944_SPLEEN_ILC3,Red pulp,IL7R Non B/T,126.8609032
173945_SPLEEN_ILC3,Red pulp,IL7R Non B/T,212.5066105
173946_SPLEEN_ILC3,Red pulp,IL7R Non B/T,383.5056397
173947_SPLEEN_ILC3,Red pulp,IL7R Non B/T,333.5786503
173948_SPLEEN_ILC3,Red pulp,IL7R Non B/T,284.8767089
173949_SPLEEN_ILC3,Red pulp,IL7R Non B/T,251.1388851
169508_APPENDIX_ILC1,Germinal center,B,6023.306869
169509_APPENDIX_ILC1,Germinal center,B,4809.090392
169510_APPENDIX_ILC1,Germinal center,B,5114.366799
169511_APPENDIX_ILC1,Germinal center,B,6524.722505
169512_APPENDIX_ILC1,Germinal center,B,4379.797482
169513_APPENDIX_ILC1,Germinal center,B,9161.47271
169514_APPENDIX_ILC1,Germinal center,B,5559.919332
169515_APPENDIX_ILC1,Germinal center,B,4709.352638
169516_APPENDIX_ILC2,Germinal center,B,4793.407037
169517_APPENDIX_ILC2,Germinal center,B,5657.310963
169518_APPENDIX_ILC2,Germinal center,B,5593.255102
169519_APPENDIX_ILC2,Germinal center,B,6803.296446
169520_APPENDIX_ILC2,Germinal center,B,5032.810986
169521_APPENDIX_ILC2,Germinal center,B,7258.016408
